salario_inicial_sm_2024,edad,salario_pyg_real,salario_sm_2024_ref,capital_pyg_real,aporte_mensual_pyg_real,anos_experiencia
1,50.5,5034865.83699572,1.786480237487819,461168116.7988115,1107670.4841390585,20.5
1,50.58333333333333,5034865.83699572,1.786480237487819,465350241.39494264,1107670.4841390585,20.58333333333333
1,50.66666666666667,5034865.83699572,1.786480237487819,469560246.82171464,1107670.4841390585,20.66666666666667
1,50.75,5034865.83699572,1.786480237487819,473798318.9513318,1107670.4841390585,20.75
1,50.83333333333333,5034865.83699572,1.786480237487819,478064644.89514637,1107670.4841390585,20.83333333333333
1,50.91666666666667,5034865.83699572,1.786480237487819,482359413.01191974,1107670.4841390585,20.91666666666667
1,51.0,5085214.495365677,1.8043450398626972,486682812.91613823,1118747.188980449,21.0
1,51.08333333333333,5085214.495365677,1.8043450398626972,491046112.19122624,1118747.188980449,21.08333333333333
1,51.16666666666667,5085214.495365677,1.8043450398626972,495438500.1281482,1118747.188980449,21.16666666666667
1,51.25,5085214.495365677,1.8043450398626972,499860170.6513163,1118747.188980449,21.25
1,51.33333333333333,5085214.495365677,1.8043450398626972,504311318.97797215,1118747.188980449,21.33333333333333
1,51.41666666666667,5085214.495365677,1.8043450398626972,508792141.6268057,1118747.188980449,21.41666666666667
1,51.5,5085214.495365677,1.8043450398626972,513302836.4266315,1118747.188980449,21.5
1,51.58333333333333,5085214.495365677,1.8043450398626972,517843602.5251228,1118747.188980449,21.58333333333333
1,51.66666666666667,5085214.495365677,1.8043450398626972,522414640.39760405,1118747.188980449,21.66666666666667
1,51.75,5085214.495365677,1.8043450398626972,527016151.85590184,1118747.188980449,21.75
1,51.83333333333333,5085214.495365677,1.8043450398626972,531648340.05725497,1118747.188980449,21.83333333333333
1,51.91666666666667,5085214.495365677,1.8043450398626972,536311409.5132838,1118747.188980449,21.91666666666667
1,52.0,5136066.640319334,1.8223884902613243,541005566.0990194,1129934.6608702536,22.0
1,52.08333333333333,5136066.640319334,1.8223884902613243,545742204.533883,1129934.6608702536,22.08333333333333
1,52.16666666666667,5136066.640319334,1.8223884902613243,550510420.5583123,1129934.6608702536,22.16666666666667
1,52.25,5136066.640319334,1.8223884902613243,555310424.6895713,1129934.6608702536,22.25
1,52.33333333333333,5136066.640319334,1.8223884902613243,560142428.8483719,1129934.6608702536,22.33333333333333
1,52.41666666666667,5136066.640319334,1.8223884902613243,565006646.3682312,1129934.6608702536,22.41666666666667
1,52.5,5136066.640319334,1.8223884902613243,569903292.0048895,1129934.6608702536,22.5
1,52.58333333333333,5136066.640319334,1.8223884902613243,574832581.9457922,1129934.6608702536,22.58333333333333
1,52.66666666666667,5136066.640319334,1.8223884902613243,579794733.8196343,1129934.6608702536,22.66666666666667
1,52.75,5136066.640319334,1.8223884902613243,584789966.7059687,1129934.6608702536,22.75
1,52.83333333333333,5136066.640319334,1.8223884902613243,589818501.1448786,1129934.6608702536,22.83333333333333
1,52.91666666666667,5136066.640319334,1.8223884902613243,594880559.1467147,1129934.6608702536,22.91666666666667
1,53.0,5187427.306722527,1.8406123751639374,599976364.2018963,1141234.0074789561,23.0
1,53.08333333333333,5187427.306722527,1.8406123751639374,605117440.6373879,1141234.0074789561,23.08333333333333
1,53.16666666666667,5187427.306722527,1.8406123751639374,610292790.9157827,1141234.0074789561,23.16666666666667
1,53.25,5187427.306722527,1.8406123751639374,615502643.5293669,1141234.0074789561,23.25
1,53.33333333333333,5187427.306722527,1.8406123751639374,620747228.4937083,1141234.0074789561,23.33333333333333
1,53.41666666666667,5187427.306722527,1.8406123751639374,626026777.3578119,1141234.0074789561,23.41666666666667
1,53.5,5187427.306722527,1.8406123751639374,631341523.214343,1141234.0074789561,23.5
1,53.58333333333333,5187427.306722527,1.8406123751639374,636691700.7099174,1141234.0074789561,23.58333333333333
1,53.66666666666667,5187427.306722527,1.8406123751639374,642077546.0554625,1141234.0074789561,23.66666666666667
1,53.75,5187427.306722527,1.8406123751639374,647499297.0366445,1141234.0074789561,23.75
1,53.83333333333333,5187427.306722527,1.8406123751639374,652957193.0243677,1141234.0074789561,23.83333333333333
1,53.91666666666667,5187427.306722527,1.8406123751639374,658451474.9853424,1141234.0074789561,23.91666666666667
1,54.0,5239301.579789753,1.859018498915577,663982385.4927236,1152646.3475537456,24.0
1,54.08333333333333,5239301.579789753,1.859018498915577,669561581.0768955,1152646.3475537456,24.08333333333333
1,54.16666666666667,5239301.579789753,1.859018498915577,675177971.2982951,1152646.3475537456,24.16666666666667
